Client,Address,Expiration Date,Status,Premium,VIN,State,Manufacturer,Car Model,Autonomous Software,Sensors,Computing Units,Connectivity,Power System,Braking System,Steering System,Price,Policy Channel,Year,Mileage,Accident History,Ownership,Average Annual Mileage,Annual Mileage,Repair Records,Maintenance Records,Usage,Claim Records
Michael Phillips PhD,"384 Amy Fort Apt. 008
Port Katelyn, MT 33821",2024-10-13,Expired,106.59,FSH76N18H23Z7K8U8,MT,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,In-Vehicle Infotainment System,2014,131708,1,Personal Ownership,11973,"[12010, 12989, 11055, 11621, 12704, 12019, 11563, 12241, 10844, 11610, 13052]",4,20,Rental,"[{'date': datetime.date(2020, 12, 3), 'amount': 1703.7}]"
Tiffany Ross,"58132 Emma Dam Suite 499
East Andreaton, GU 14698",2024-09-23,Expired,129.12,ZUY8MBG48B8D80HBY,GU,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,4S Stores,2014,148804,1,Personal Ownership,13527,"[14338, 14095, 12671, 12688, 14888, 13640, 12615, 13760, 14359, 14161, 11589]",2,10,Commercial,"[{'date': datetime.date(2022, 5, 25), 'amount': 4981.89}, {'date': datetime.date(2024, 10, 28), 'amount': 1903.01}]"
Diana Hamilton,"8767 Alice Mission
North Larrymouth, MO 90672",2024-09-20,Expired,95.25,YB3E116Y2P9A6TB42,MO,BYD,BYD Dolphin,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,20000,In-Vehicle Infotainment System,2020,59258,0,Company Ownership,11851,"[12646, 11176, 12877, 11262, 11297]",2,4,Rental,[]
Kimberly Green,"927 Ramos Drive Apt. 313
Lake Edwinstad, PR 33865",2024-09-20,Expired,124.21000000000001,3CYWFRWWXFBRT2NN9,PR,BMW,BMW i4,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,56000,In-Vehicle Infotainment System,2024,0,0,Personal Ownership,0,[0],0,0,Personal,"[{'date': datetime.date(2024, 7, 17), 'amount': 4416.81}, {'date': datetime.date(2023, 7, 14), 'amount': 2762.49}, {'date': datetime.date(2023, 7, 8), 'amount': 2810.18}, {'date': datetime.date(2024, 10, 28), 'amount': 4254.1}, {'date': datetime.date(2024, 10, 28), 'amount': 3087.83}]"
Benjamin Barnes,"1910 Stark Islands
Michaelburgh, NC 70212",2024-10-15,Expired,145.84,6Z4NPF4WNK4A4G8ET,NC,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,4S Stores,2020,52534,0,Company Ownership,10506,"[9473, 11537, 9607, 11557, 10360]",0,4,Rental,"[{'date': datetime.date(2022, 1, 23), 'amount': 4799.33}, {'date': datetime.date(2024, 4, 24), 'amount': 1992.7}, {'date': datetime.date(2024, 10, 28), 'amount': 3582.68}]"
Warren Leon,"826 Schwartz Terrace
Gordonport, IN 75976",2024-09-09,Expired,137.88,4KHHG9E2LXJA52K73,IN,Audi,Audi Q8 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,74000,4S Stores,2022,27994,0,Company Ownership,9331,"[8514, 10612, 8868]",0,4,Commercial,"[{'date': datetime.date(2021, 1, 10), 'amount': 3895.36}, {'date': datetime.date(2020, 3, 17), 'amount': 3907.43}, {'date': datetime.date(2020, 1, 24), 'amount': 3120.48}]"
Katie Nguyen,"109 Martinez Brooks Suite 821
Richardsbury, IA 80620",2024-10-01,Expired,148.56,VB9ETZYHEE77N0PWT,IA,Audi,Audi A8 L,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,86000,Agent,2018,88537,0,Personal Ownership,12648,"[12162, 13756, 11667, 13100, 13223, 11951, 12678]",1,12,Rental,"[{'date': datetime.date(2023, 11, 19), 'amount': 2048.93}, {'date': datetime.date(2018, 8, 6), 'amount': 3502.02}, {'date': datetime.date(2020, 10, 29), 'amount': 4837.14}]"
Roger Ramirez,"3114 Mitchell Burgs
North Josephfurt, OH 47705",2024-10-03,Expired,95.38,GAS7AJEKHBPV2ZV1F,OH,BYD,BYD Dolphin,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,20000,Agent,2016,111599,1,Company Ownership,12399,"[12303, 11953, 13200, 11763, 12633, 11359, 11869, 13407, 13112]",0,16,Commercial,[]
Catherine Dominguez,"199 Williams Path Suite 953
East John, PA 58962",2024-09-13,Expired,101.38,A3HJH8GGVE2ZCH3AX,PA,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,In-Vehicle Infotainment System,2019,65857,0,Company Ownership,10976,"[10740, 10767, 10014, 10668, 10670, 12998]",1,10,Commercial,"[{'date': datetime.date(2024, 7, 9), 'amount': 2672.03}]"
Danielle Berger,"USNS Edwards
FPO AP 00928",2024-09-15,Expired,129.85,FB8ASU3UCGFF3824R,AP,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,In-Vehicle Infotainment System,2023,12996,0,Personal Ownership,6498,"[6833, 6163]",0,1,Rental,"[{'date': datetime.date(2024, 3, 11), 'amount': 2732.06}, {'date': datetime.date(2024, 3, 5), 'amount': 2982.29}]"
Terry Smith,"5095 Theresa Extension Apt. 474
North Karamouth, NC 47263",2024-09-18,Expired,131.66,0CTU613196MY61KP1,NC,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,In-Vehicle Infotainment System,2017,85032,1,Company Ownership,10629,"[9828, 11760, 10565, 10075, 9972, 10702, 10900, 11230]",0,14,Rental,"[{'date': datetime.date(2023, 1, 8), 'amount': 4815.32}, {'date': datetime.date(2022, 4, 9), 'amount': 1447.77}]"
Christopher Farrell,"7241 Jay Stravenue Apt. 165
Johnview, OR 06884",2024-10-15,Expired,160.0,HW7GS8GE6201GT7G0,OR,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,Online,2014,137611,1,Personal Ownership,12510,"[13115, 13385, 13561, 11674, 11851, 11110, 13600, 13357, 11626, 13003, 11329]",0,10,Personal,"[{'date': datetime.date(2024, 4, 10), 'amount': 1916.13}]"
Sarah Chavez,"848 Samuel Mountain Apt. 729
West Gregoryshire, MN 10525",2024-09-24,Expired,144.25,A86WBENRT4B2FLVFF,MN,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,4S Stores,2022,28675,1,Personal Ownership,9558,"[9076, 10105, 9494]",0,2,Personal,"[{'date': datetime.date(2024, 2, 21), 'amount': 4481.32}, {'date': datetime.date(2022, 2, 20), 'amount': 2303.16}]"
Cory Garcia,"5503 Taylor Course
Martinezborough, WA 95680",2024-09-20,Expired,135.59,Z6GBF3UXK1LBKM79L,WA,Audi,Audi A6 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,70000,4S Stores,2022,25584,0,Company Ownership,8528,"[7899, 9250, 8435]",0,2,Commercial,"[{'date': datetime.date(2024, 3, 31), 'amount': 2077.27}, {'date': datetime.date(2023, 4, 26), 'amount': 3319.78}]"
Steve Gutierrez,"6433 Miller Isle Apt. 793
Lake Theresachester, WI 86611",2024-09-20,Expired,173.20999999999998,3HZN5LZF8B1LM7JXU,WI,BMW,BMW i7,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,120000,Online,2019,73243,0,Company Ownership,12207,"[11567, 12045, 11965, 12494, 13229, 11943]",0,10,Personal,"[{'date': datetime.date(2021, 5, 22), 'amount': 4148.04}, {'date': datetime.date(2017, 10, 27), 'amount': 4661.36}]"
Scott Miles,"095 Charles Streets
East Karentown, TN 95478",2024-09-14,Expired,105.38,YVNUUH1G8GBE58XN8,TN,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,Online,2017,101185,1,Company Ownership,12648,"[12439, 13101, 12779, 12785, 13331, 13419, 11495, 11836]",2,14,Personal,"[{'date': datetime.date(2023, 9, 26), 'amount': 3381.01}, {'date': datetime.date(2021, 11, 12), 'amount': 1238.93}, {'date': datetime.date(2020, 10, 2), 'amount': 2304.02}]"
William Owens,"059 Amy Vista Suite 526
Gatesshire, OH 46027",2024-10-24,Expired,138.03,RMGVLMB57BS1M2JM4,OH,Mercedes-Benz,Mercedes-Benz GLS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,76000,4S Stores,2015,133334,2,Company Ownership,13333,"[12912, 12329, 12947, 14377, 13843, 13684, 12710, 13552, 12611, 14369]",1,18,Personal,"[{'date': datetime.date(2022, 6, 2), 'amount': 4324.95}]"
Bonnie Kelley,"USS Soto
FPO AE 72882",2024-10-10,Expired,129.09,H5ERH1M62Z5M11L1D,AE,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,Online,2023,13160,0,Personal Ownership,6580,"[6146, 7014]",0,2,Personal,[]
Carmen Meadows,"41515 Devin Isle Apt. 337
Markland, TN 60544",2024-09-10,Expired,101.63,YNED07P59N66WLE3M,TN,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,In-Vehicle Infotainment System,2020,48296,0,Personal Ownership,9659,"[10456, 8875, 8788, 10970, 9207]",0,8,Personal,"[{'date': datetime.date(2022, 3, 4), 'amount': 1409.73}, {'date': datetime.date(2024, 10, 28), 'amount': 535.58}]"
Justin Davenport,"2026 Randolph River
Greenefort, PA 91945",2024-10-08,Expired,119.14,ANZCSXKRBKHADE6GU,PA,NIO,NIO EC6,NIO Pilot,LiDAR,NVIDIA Orin,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49000,Online,2021,37409,2,Personal Ownership,9352,"[8479, 10053, 8748, 10129]",1,6,Rental,"[{'date': datetime.date(2024, 7, 22), 'amount': 4291.79}, {'date': datetime.date(2023, 1, 29), 'amount': 2356.57}]"
Mrs. Kelsey Lucas,"13803 Stephen Estates
Warrenton, OH 79555",2024-09-15,Expired,101.93,HW5NGEH8NWC8EHFVB,OH,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,4S Stores,2018,81173,0,Company Ownership,11596,"[12131, 11450, 10499, 12115, 11919, 10834, 12225]",0,6,Commercial,[]
Kevin Hughes,"Unit 7653 Box 3149
DPO AE 97800",2024-10-03,Expired,130.77,D7JXUL3MCT7U4DA9Z,AE,Mercedes-Benz,Mercedes-Benz EQC,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,67000,4S Stores,2016,103058,0,Personal Ownership,11450,"[12208, 11500, 11623, 11740, 11784, 11183, 11307, 10518, 11195]",2,8,Rental,"[{'date': datetime.date(2022, 6, 9), 'amount': 2161.38}]"
Krista Hammond,"17734 Betty Estates
East Tiffanymouth, IL 87445",2024-10-25,Expired,95.15,H8AYZUGKBT5BV0MZ2,IL,XPeng,XPeng G3i,XPilot,LiDAR,Xavier AI Chip,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,20000,Agent,2016,99633,0,Personal Ownership,11070,"[11042, 11141, 12115, 9807, 11267, 10348, 10340, 11253, 12320]",2,16,Personal,"[{'date': datetime.date(2020, 5, 6), 'amount': 1674.12}]"
William Gibbs,"2549 Joy Shores Suite 238
Briannaberg, PR 89982",2024-09-21,Expired,131.17000000000002,V50DG15BVMMN5GC3T,PR,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,Online,2024,0,0,Company Ownership,0,[0],0,0,Commercial,"[{'date': datetime.date(2024, 10, 28), 'amount': 4482.6}]"
Ashley Gill,"89408 Christopher Plain
Greenshire, TX 42474",2024-09-20,Expired,130.4,Z4PS0JA0YSUZ24ZP2,TX,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,In-Vehicle Infotainment System,2021,39464,0,Personal Ownership,9866,"[10830, 8981, 9434, 10219]",1,3,Rental,"[{'date': datetime.date(2015, 3, 17), 'amount': 511.97}, {'date': datetime.date(2023, 12, 31), 'amount': 1450.89}]"
Debbie Brown,"189 Thomas Forest
Leeburgh, MS 40155",2024-09-09,Expired,105.03,FH2B3YUVZYUSFJUAC,MS,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,4S Stores,2024,0,0,Personal Ownership,0,[0],0,0,Personal,"[{'date': datetime.date(2018, 4, 28), 'amount': 4284.13}, {'date': datetime.date(2022, 6, 3), 'amount': 526.66}, {'date': datetime.date(2024, 3, 26), 'amount': 1479.05}]"
Shannon Vang,"USNV Miller
FPO AE 08604",2024-10-19,Expired,101.35,NTN6LLS04YXRY2CEX,AE,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,Agent,2020,59880,1,Company Ownership,11976,"[11970, 12805, 10926, 12126, 12053]",0,8,Rental,[]
Brian Carter II,"79387 Emily Locks Apt. 346
Port John, OK 68764",2024-10-21,Expired,104.47,SAUAV171C9WALKR1D,OK,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,Online,2018,78975,0,Personal Ownership,11282,"[10236, 11477, 11618, 11186, 11354, 10753, 12351]",1,6,Rental,"[{'date': datetime.date(2018, 6, 19), 'amount': 4315.17}]"
Donald Cunningham,"5843 Clinton Ways Suite 330
Port Gina, VT 45495",2024-10-09,Expired,135.05,KN0EN5ZPVHDL2HYAH,VT,Audi,Audi A6 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,70000,In-Vehicle Infotainment System,2023,12112,0,Personal Ownership,6056,"[5815, 6297]",1,1,Rental,"[{'date': datetime.date(2021, 5, 12), 'amount': 1149.34}]"
Christine Arroyo,"4410 Matthew Locks
New Joseph, RI 58137",2024-10-03,Expired,131.41,5XZX271ZV50RBZEWU,RI,Mercedes-Benz,Mercedes-Benz EQC,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,67000,Online,2015,108355,1,Company Ownership,10835,"[11689, 10649, 11348, 11699, 9584, 10819, 10368, 10103, 11386, 10710]",1,18,Personal,[]
Mike Turner,"885 Stewart Crest Apt. 825
Karenside, DC 20759",2024-09-08,Expired,118.62,XKUHB46LFNKNVUDLF,DC,Tesla,Tesla Model Y,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49990,In-Vehicle Infotainment System,2022,25365,1,Personal Ownership,8455,"[7630, 9127, 8608]",1,4,Rental,"[{'date': datetime.date(2022, 7, 4), 'amount': 1958.46}]"
Jennifer Fowler,"325 Matthew Ridge Apt. 652
Joseside, FL 82559",2024-10-19,Expired,101.07,FD1H1RK0RSTGEFULV,FL,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,4S Stores,2020,53231,0,Personal Ownership,10646,"[10864, 10077, 10601, 10473, 11216]",0,4,Commercial,"[{'date': datetime.date(2018, 8, 14), 'amount': 2132.99}, {'date': datetime.date(2022, 11, 26), 'amount': 4205.86}, {'date': datetime.date(2019, 12, 7), 'amount': 1080.29}, {'date': datetime.date(2022, 11, 19), 'amount': 1451.05}]"
Victor Ochoa,"265 Gardner Union Suite 894
Port Robert, GA 46496",2024-10-12,Expired,101.87,SEUZWNMB3YJCN56UT,GA,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,4S Stores,2024,0,0,Personal Ownership,0,[0],0,0,Commercial,"[{'date': datetime.date(2021, 2, 25), 'amount': 4943.21}, {'date': datetime.date(2019, 11, 25), 'amount': 4860.23}, {'date': datetime.date(2018, 5, 1), 'amount': 1124.21}]"
Derrick Gross,"595 Richards Mountains
Nathanshire, MN 85793",2024-10-21,Expired,107.28999999999999,X3DVUKT0895F65BPX,MN,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,Online,2018,81337,0,Company Ownership,11619,"[11916, 12373, 11640, 10887, 12147, 11421, 10953]",0,12,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 4235.71}]"
